open,close,high,low,value,volume,begin,end,SECID
116810,116810,116810,116810,0,1,2024-03-15 10:01:00,2024-03-15 10:01:59,SiH6
111949,111950,111950,111949,0,2,2024-04-05 20:44:00,2024-04-05 20:44:59,SiH6
111600,111600,111600,111600,0,1,2024-04-08 12:54:00,2024-04-08 12:54:59,SiH6
111501,111501,111501,111501,0,1,2024-04-08 12:56:00,2024-04-08 12:56:59,SiH6
111882,111882,111882,111882,0,1,2024-04-11 11:30:00,2024-04-11 11:30:59,SiH6
111501,111501,111501,111501,0,1,2024-04-11 16:49:00,2024-04-11 16:49:59,SiH6
111499,111499,111499,111499,0,1,2024-04-11 18:48:00,2024-04-11 18:48:59,SiH6
111301,111301,111301,111301,0,1,2024-04-12 13:41:00,2024-04-12 13:41:59,SiH6
111450,111450,111450,111450,0,1,2024-04-16 14:21:00,2024-04-16 14:21:59,SiH6
110750,110750,110750,110750,0,1,2024-04-22 17:49:00,2024-04-22 17:49:59,SiH6
112198,112198,112198,112198,0,1,2024-04-22 20:05:00,2024-04-22 20:05:59,SiH6
109151,109151,109151,109151,0,1,2024-04-24 10:37:00,2024-04-24 10:37:59,SiH6
109150,109150,109150,109150,0,1,2024-04-24 10:46:00,2024-04-24 10:46:59,SiH6
109200,109200,109200,109200,0,1,2024-04-24 11:02:00,2024-04-24 11:02:59,SiH6
109000,109000,109000,109000,0,1,2024-04-24 11:04:00,2024-04-24 11:04:59,SiH6
108999,108999,108999,108999,0,1,2024-04-27 15:02:00,2024-04-27 15:02:59,SiH6
110136,110136,110136,110136,0,1,2024-04-30 16:05:00,2024-04-30 16:05:59,SiH6
109600,109100,109600,109100,0,4,2024-04-30 17:35:00,2024-04-30 17:35:59,SiH6
110017,110017,110017,110017,0,1,2024-04-30 18:33:00,2024-04-30 18:33:59,SiH6
109793,109793,109793,109793,0,1,2024-04-30 23:30:00,2024-04-30 23:30:59,SiH6
109831,109831,109831,109831,0,1,2024-05-20 10:28:00,2024-05-20 10:28:59,SiH6
112000,112300,112300,112000,0,3,2024-05-20 10:30:00,2024-05-20 10:30:59,SiH6
109400,109400,109400,109400,0,1,2024-05-20 10:36:00,2024-05-20 10:36:59,SiH6
108599,108599,108599,108599,0,1,2024-05-23 14:21:00,2024-05-23 14:21:59,SiH6
108599,108599,108599,108599,0,1,2024-05-23 14:32:00,2024-05-23 14:32:59,SiH6
108599,108599,108599,108599,0,1,2024-05-23 15:50:00,2024-05-23 15:50:59,SiH6
108300,108300,108300,108300,0,2,2024-05-23 17:16:00,2024-05-23 17:16:59,SiH6
105808,105808,105808,105808,0,1,2024-05-27 13:56:00,2024-05-27 13:56:59,SiH6
107576,107752,112998,107576,0,13,2024-05-28 22:16:00,2024-05-28 22:16:59,SiH6
105408,103033,105408,103033,0,10,2024-05-28 22:18:00,2024-05-28 22:18:59,SiH6
107800,111400,111400,107800,0,8,2024-05-28 23:19:00,2024-05-28 23:19:59,SiH6
108092,108092,108092,108092,0,1,2024-05-29 09:31:00,2024-05-29 09:31:59,SiH6
108091,108091,108091,108091,0,2,2024-05-29 09:33:00,2024-05-29 09:33:59,SiH6
108277,108277,108277,108277,0,1,2024-05-29 10:38:00,2024-05-29 10:38:59,SiH6
108355,108115,108355,108115,0,3,2024-05-29 11:00:00,2024-05-29 11:00:59,SiH6
107206,106802,107206,106802,0,3,2024-06-03 12:18:00,2024-06-03 12:18:59,SiH6
105320,105320,105320,105320,0,1,2024-06-17 10:44:00,2024-06-17 10:44:59,SiH6
108206,108206,108206,108206,0,1,2024-06-17 10:51:00,2024-06-17 10:51:59,SiH6
105167,105167,105167,105167,0,1,2024-06-18 12:33:00,2024-06-18 12:33:59,SiH6
