open,close,high,low,value,volume,begin,end,SECID
99875,99875,99875,99875,0,1,2024-06-25 10:05:00,2024-06-25 10:05:59,SiM6
102037,102037,102037,102037,0,1,2024-06-28 21:02:00,2024-06-28 21:02:59,SiM6
103500,103500,103500,103500,0,1,2024-07-04 13:48:00,2024-07-04 13:48:59,SiM6
103600,103600,103600,103600,0,1,2024-07-04 15:50:00,2024-07-04 15:50:59,SiM6
103875,103875,103875,103875,0,1,2024-07-04 19:48:00,2024-07-04 19:48:59,SiM6
104700,104701,104701,104700,0,2,2024-07-04 21:10:00,2024-07-04 21:10:59,SiM6
103742,103742,103742,103742,0,1,2024-07-08 13:07:00,2024-07-08 13:07:59,SiM6
103001,103001,103001,103001,0,5,2024-07-11 14:18:00,2024-07-11 14:18:59,SiM6
105400,105400,105400,105400,0,5,2024-07-11 14:19:00,2024-07-11 14:19:59,SiM6
102616,102616,102616,102616,0,1,2024-07-15 18:08:00,2024-07-15 18:08:59,SiM6
101187,101187,101187,101187,0,1,2024-07-23 18:38:00,2024-07-23 18:38:59,SiM6
100644,100500,100644,100500,0,2,2024-07-23 19:11:00,2024-07-23 19:11:59,SiM6
100500,100500,100500,100500,0,1,2024-07-25 12:13:00,2024-07-25 12:13:59,SiM6
100500,100500,100500,100500,0,1,2024-07-25 12:54:00,2024-07-25 12:54:59,SiM6
100600,100600,100600,100600,0,1,2024-07-25 16:12:00,2024-07-25 16:12:59,SiM6
100000,100000,100000,100000,0,1,2024-08-02 15:43:00,2024-08-02 15:43:59,SiM6
100194,100194,100194,100194,0,1,2024-08-06 18:05:00,2024-08-06 18:05:59,SiM6
101259,101259,101259,101259,0,1,2024-08-09 12:19:00,2024-08-09 12:19:59,SiM6
101181,101181,101181,101181,0,1,2024-08-09 14:37:00,2024-08-09 14:37:59,SiM6
100662,100662,100662,100662,0,1,2024-08-09 16:35:00,2024-08-09 16:35:59,SiM6
100276,100276,100276,100276,0,1,2024-08-09 17:52:00,2024-08-09 17:52:59,SiM6
100725,100725,100725,100725,0,1,2024-08-12 14:08:00,2024-08-12 14:08:59,SiM6
100700,100700,100700,100700,0,2,2024-08-12 16:33:00,2024-08-12 16:33:59,SiM6
100206,100206,100206,100206,0,1,2024-08-12 17:33:00,2024-08-12 17:33:59,SiM6
100130,100130,100130,100130,0,1,2024-08-12 17:56:00,2024-08-12 17:56:59,SiM6
100184,100184,100184,100184,0,1,2024-08-12 19:13:00,2024-08-12 19:13:59,SiM6
100129,100129,100129,100129,0,1,2024-08-13 10:55:00,2024-08-13 10:55:59,SiM6
100530,100530,100530,100530,0,1,2024-08-13 12:24:00,2024-08-13 12:24:59,SiM6
101507,101507,101507,101507,0,1,2024-08-13 12:26:00,2024-08-13 12:26:59,SiM6
101585,101599,101599,101585,0,2,2024-08-13 12:27:00,2024-08-13 12:27:59,SiM6
101500,101500,101500,101500,0,1,2024-08-13 21:28:00,2024-08-13 21:28:59,SiM6
101500,101500,101500,101500,0,1,2024-08-14 10:08:00,2024-08-14 10:08:59,SiM6
102000,102000,102000,102000,0,1,2024-08-14 10:24:00,2024-08-14 10:24:59,SiM6
101609,101609,101609,101609,0,2,2024-08-14 10:28:00,2024-08-14 10:28:59,SiM6
101200,101200,101200,101200,0,1,2024-08-14 13:18:00,2024-08-14 13:18:59,SiM6
101200,101200,101200,101200,0,1,2024-08-14 13:37:00,2024-08-14 13:37:59,SiM6
100119,100119,100119,100119,0,1,2024-08-15 12:24:00,2024-08-15 12:24:59,SiM6
101130,101130,101130,101130,0,1,2024-08-16 13:50:00,2024-08-16 13:50:59,SiM6
101170,101170,101170,101170,0,1,2024-08-16 15:14:00,2024-08-16 15:14:59,SiM6
100835,100835,100835,100835,0,2,2024-08-19 15:28:00,2024-08-19 15:28:59,SiM6
100726,100726,100726,100726,0,1,2024-08-19 20:33:00,2024-08-19 20:33:59,SiM6
101090,101090,101090,101090,0,1,2024-08-20 14:47:00,2024-08-20 14:47:59,SiM6
101683,101683,101683,101683,0,1,2024-08-21 15:36:00,2024-08-21 15:36:59,SiM6
100730,100730,100730,100730,0,1,2024-08-22 11:51:00,2024-08-22 11:51:59,SiM6
101850,101850,101850,101850,0,1,2024-08-27 18:05:00,2024-08-27 18:05:59,SiM6
101600,101600,101600,101600,0,1,2024-08-28 12:38:00,2024-08-28 12:38:59,SiM6
100050,100050,100050,100050,0,1,2024-09-03 12:16:00,2024-09-03 12:16:59,SiM6
100916,100916,100916,100916,0,1,2024-09-05 13:29:00,2024-09-05 13:29:59,SiM6
101464,101464,101464,101464,0,1,2024-09-10 10:19:00,2024-09-10 10:19:59,SiM6
101000,101000,101000,101000,0,1,2024-09-16 14:37:00,2024-09-16 14:37:59,SiM6
100678,100678,100678,100678,0,1,2024-09-16 16:15:00,2024-09-16 16:15:59,SiM6
100979,100979,100979,100979,0,1,2024-09-16 16:43:00,2024-09-16 16:43:59,SiM6
101537,101537,101537,101537,0,1,2024-09-16 16:54:00,2024-09-16 16:54:59,SiM6
101592,101592,101592,101592,0,1,2024-09-16 16:59:00,2024-09-16 16:59:59,SiM6
101751,101751,101751,101751,0,1,2024-09-16 17:02:00,2024-09-16 17:02:59,SiM6
101801,101801,101801,101801,0,1,2024-09-16 20:33:00,2024-09-16 20:33:59,SiM6
102189,102189,102189,102189,0,1,2024-09-16 20:42:00,2024-09-16 20:42:59,SiM6
102460,102460,102460,102460,0,2,2024-09-16 21:23:00,2024-09-16 21:23:59,SiM6
102201,102201,102201,102201,0,1,2024-09-17 18:06:00,2024-09-17 18:06:59,SiM6
101883,102000,102000,101883,0,2,2024-09-18 16:26:00,2024-09-18 16:26:59,SiM6
101500,101500,101500,101500,0,2,2024-09-18 16:27:00,2024-09-18 16:27:59,SiM6
101251,101251,101251,101251,0,1,2024-09-18 16:29:00,2024-09-18 16:29:59,SiM6
101089,101089,101089,101089,0,1,2024-09-18 16:59:00,2024-09-18 16:59:59,SiM6
100815,100815,100815,100815,0,1,2024-09-18 17:17:00,2024-09-18 17:17:59,SiM6
101006,101006,101006,101006,0,1,2024-09-18 18:00:00,2024-09-18 18:00:59,SiM6
100733,100733,100733,100733,0,1,2024-09-18 18:28:00,2024-09-18 18:28:59,SiM6
100900,100900,100900,100900,0,1,2024-09-18 22:12:00,2024-09-18 22:12:59,SiM6
101589,101589,101589,101589,0,1,2024-09-19 17:52:00,2024-09-19 17:52:59,SiM6
101451,101451,101451,101451,0,1,2024-09-20 11:45:00,2024-09-20 11:45:59,SiM6
100800,100800,100800,100800,0,1,2024-09-23 10:59:00,2024-09-23 10:59:59,SiM6
100820,100820,100820,100820,0,2,2024-09-24 19:42:00,2024-09-24 19:42:59,SiM6
100101,100101,100101,100101,0,1,2024-09-25 11:33:00,2024-09-25 11:33:59,SiM6
100100,100100,100100,100100,0,1,2024-09-25 11:35:00,2024-09-25 11:35:59,SiM6
101457,101528,101528,101457,0,2,2024-09-25 19:08:00,2024-09-25 19:08:59,SiM6
101527,101527,101527,101527,0,1,2024-09-26 12:55:00,2024-09-26 12:55:59,SiM6
102794,102000,102795,102000,0,3,2024-10-01 15:19:00,2024-10-01 15:19:59,SiM6
102000,102000,102000,102000,0,1,2024-10-01 15:22:00,2024-10-01 15:22:59,SiM6
102922,102922,102922,102922,0,1,2024-10-01 17:01:00,2024-10-01 17:01:59,SiM6
102922,102922,102922,102922,0,1,2024-10-01 17:22:00,2024-10-01 17:22:59,SiM6
103624,103624,103624,103624,0,2,2024-10-01 18:19:00,2024-10-01 18:19:59,SiM6
102998,102998,102998,102998,0,2,2024-10-01 18:42:00,2024-10-01 18:42:59,SiM6
103675,103675,103675,103675,0,1,2024-10-01 20:42:00,2024-10-01 20:42:59,SiM6
103674,103674,103674,103674,0,1,2024-10-01 21:48:00,2024-10-01 21:48:59,SiM6
103674,103674,103674,103674,0,1,2024-10-01 22:10:00,2024-10-01 22:10:59,SiM6
103675,103675,103675,103675,0,1,2024-10-01 23:35:00,2024-10-01 23:35:59,SiM6
104000,104000,104000,104000,0,1,2024-10-02 13:45:00,2024-10-02 13:45:59,SiM6
103742,103742,103742,103742,0,1,2024-10-02 14:30:00,2024-10-02 14:30:59,SiM6
104117,104117,104117,104117,0,1,2024-10-02 22:51:00,2024-10-02 22:51:59,SiM6
104134,104134,104134,104134,0,1,2024-10-03 10:16:00,2024-10-03 10:16:59,SiM6
104500,104500,104500,104500,0,2,2024-10-03 14:12:00,2024-10-03 14:12:59,SiM6
104400,104400,104400,104400,0,1,2024-10-04 15:42:00,2024-10-04 15:42:59,SiM6
104399,104984,104984,104399,0,2,2024-10-07 11:05:00,2024-10-07 11:05:59,SiM6
104799,104799,104799,104799,0,2,2024-10-08 10:21:00,2024-10-08 10:21:59,SiM6
104349,104349,104349,104349,0,1,2024-10-08 10:51:00,2024-10-08 10:51:59,SiM6
104450,104450,104450,104450,0,1,2024-10-08 15:35:00,2024-10-08 15:35:59,SiM6
104555,104777,104777,104555,0,2,2024-10-09 12:31:00,2024-10-09 12:31:59,SiM6
104888,104866,108740,104866,0,16,2024-10-09 12:36:00,2024-10-09 12:36:59,SiM6
104999,104999,104999,104999,0,1,2024-10-09 12:37:00,2024-10-09 12:37:59,SiM6
105099,104997,105099,104997,0,4,2024-10-09 12:38:00,2024-10-09 12:38:59,SiM6
104899,104996,104996,104899,0,2,2024-10-09 12:40:00,2024-10-09 12:40:59,SiM6
105199,105199,105199,105199,0,1,2024-10-09 12:41:00,2024-10-09 12:41:59,SiM6
104999,104999,104999,104999,0,1,2024-10-09 12:43:00,2024-10-09 12:43:59,SiM6
104888,104888,104888,104888,0,1,2024-10-09 15:06:00,2024-10-09 15:06:59,SiM6
104999,104999,104999,104999,0,1,2024-10-09 15:10:00,2024-10-09 15:10:59,SiM6
104970,104970,104970,104970,0,2,2024-10-09 15:56:00,2024-10-09 15:56:59,SiM6
104514,104514,104514,104514,0,1,2024-10-10 17:40:00,2024-10-10 17:40:59,SiM6
104001,104496,104496,104001,0,2,2024-10-11 10:05:00,2024-10-11 10:05:59,SiM6
104000,104250,104250,104000,0,2,2024-10-11 18:31:00,2024-10-11 18:31:59,SiM6
104899,104899,104899,104899,0,1,2024-10-15 20:03:00,2024-10-15 20:03:59,SiM6
104502,104502,104502,104502,0,1,2024-10-16 12:20:00,2024-10-16 12:20:59,SiM6
104634,104634,104634,104634,0,1,2024-10-16 13:00:00,2024-10-16 13:00:59,SiM6
