open,close,high,low,value,volume,begin,end,SECID
100329,100329,100329,100329,0,1,2024-09-18 16:04:00,2024-09-18 16:04:59,SiU6
100683,100683,100683,100683,0,3,2024-09-18 16:05:00,2024-09-18 16:05:59,SiU6
100683,100683,100683,100683,0,1,2024-09-18 16:20:00,2024-09-18 16:20:59,SiU6
100683,100683,100683,100683,0,10,2024-09-18 16:26:00,2024-09-18 16:26:59,SiU6
100683,100683,100683,100683,0,1,2024-09-18 16:27:00,2024-09-18 16:27:59,SiU6
100683,100683,100683,100683,0,1,2024-09-18 16:32:00,2024-09-18 16:32:59,SiU6
100683,100683,100683,100683,0,2,2024-09-18 16:37:00,2024-09-18 16:37:59,SiU6
100683,100683,100683,100683,0,1,2024-09-18 16:38:00,2024-09-18 16:38:59,SiU6
100683,100683,100683,100683,0,1,2024-09-18 16:47:00,2024-09-18 16:47:59,SiU6
100489,100489,100489,100489,0,1,2024-09-18 17:22:00,2024-09-18 17:22:59,SiU6
100683,100683,100683,100683,0,1,2024-09-18 18:28:00,2024-09-18 18:28:59,SiU6
100707,100706,100707,100706,0,2,2024-09-19 14:06:00,2024-09-19 14:06:59,SiU6
101000,101041,101041,101000,0,2,2024-09-19 14:18:00,2024-09-19 14:18:59,SiU6
100800,100800,100800,100800,0,1,2024-09-19 14:21:00,2024-09-19 14:21:59,SiU6
100800,100800,100800,100800,0,1,2024-09-19 14:25:00,2024-09-19 14:25:59,SiU6
100676,100676,100676,100676,0,1,2024-09-20 10:15:00,2024-09-20 10:15:59,SiU6
101599,101599,101599,101599,0,1,2024-09-20 13:13:00,2024-09-20 13:13:59,SiU6
101711,101711,101711,101711,0,1,2024-09-20 13:14:00,2024-09-20 13:14:59,SiU6
102187,102188,102188,102187,0,2,2024-09-20 13:20:00,2024-09-20 13:20:59,SiU6
102500,102501,102501,102500,0,2,2024-09-20 13:48:00,2024-09-20 13:48:59,SiU6
102618,102618,102618,102618,0,1,2024-09-20 14:16:00,2024-09-20 14:16:59,SiU6
102445,102445,102445,102445,0,1,2024-09-23 10:05:00,2024-09-23 10:05:59,SiU6
103292,103292,103292,103292,0,1,2024-09-23 10:23:00,2024-09-23 10:23:59,SiU6
103292,103292,103292,103292,0,1,2024-09-23 10:25:00,2024-09-23 10:25:59,SiU6
103198,103198,103198,103198,0,1,2024-09-24 10:44:00,2024-09-24 10:44:59,SiU6
102200,102200,102200,102200,0,1,2024-09-24 16:01:00,2024-09-24 16:01:59,SiU6
103563,103640,103640,103563,0,2,2024-10-01 10:16:00,2024-10-01 10:16:59,SiU6
104000,104000,104000,104000,0,1,2024-10-01 14:26:00,2024-10-01 14:26:59,SiU6
104165,104165,104165,104165,0,1,2024-10-01 15:18:00,2024-10-01 15:18:59,SiU6
104000,104000,104000,104000,0,1,2024-10-01 15:22:00,2024-10-01 15:22:59,SiU6
104481,104481,104481,104481,0,1,2024-10-01 16:55:00,2024-10-01 16:55:59,SiU6
104500,104500,104500,104500,0,1,2024-10-01 17:01:00,2024-10-01 17:01:59,SiU6
104500,104500,104500,104500,0,1,2024-10-01 17:22:00,2024-10-01 17:22:59,SiU6
105119,105119,105119,105119,0,1,2024-10-01 17:59:00,2024-10-01 17:59:59,SiU6
105852,105853,105853,105852,0,2,2024-10-01 18:13:00,2024-10-01 18:13:59,SiU6
105101,105100,105101,105100,0,2,2024-10-01 18:19:00,2024-10-01 18:19:59,SiU6
105201,105200,105201,105200,0,2,2024-10-01 18:33:00,2024-10-01 18:33:59,SiU6
105300,105300,105300,105300,0,1,2024-10-01 20:42:00,2024-10-01 20:42:59,SiU6
105400,105400,105400,105400,0,1,2024-10-01 21:48:00,2024-10-01 21:48:59,SiU6
105500,105500,105500,105500,0,1,2024-10-01 22:10:00,2024-10-01 22:10:59,SiU6
104988,104988,104988,104988,0,1,2024-10-01 22:31:00,2024-10-01 22:31:59,SiU6
105854,105854,105854,105854,0,2,2024-10-02 10:09:00,2024-10-02 10:09:59,SiU6
106243,106243,106243,106243,0,1,2024-10-02 16:53:00,2024-10-02 16:53:59,SiU6
106237,106237,106237,106237,0,1,2024-10-03 14:30:00,2024-10-03 14:30:59,SiU6
106499,106499,106499,106499,0,1,2024-10-03 18:02:00,2024-10-03 18:02:59,SiU6
106399,106399,106399,106399,0,1,2024-10-04 15:42:00,2024-10-04 15:42:59,SiU6
106300,106300,106300,106300,0,1,2024-10-07 10:27:00,2024-10-07 10:27:59,SiU6
106399,106860,106860,106399,0,2,2024-10-07 11:04:00,2024-10-07 11:04:59,SiU6
106799,106799,106799,106799,0,1,2024-10-08 10:35:00,2024-10-08 10:35:59,SiU6
106570,106570,106570,106570,0,1,2024-10-08 10:49:00,2024-10-08 10:49:59,SiU6
106499,106499,106499,106499,0,1,2024-10-08 10:58:00,2024-10-08 10:58:59,SiU6
106400,106400,106400,106400,0,1,2024-10-08 11:32:00,2024-10-08 11:32:59,SiU6
106450,106450,106450,106450,0,1,2024-10-08 15:24:00,2024-10-08 15:24:59,SiU6
106555,106777,106777,106555,0,2,2024-10-09 10:37:00,2024-10-09 10:37:59,SiU6
106299,106299,106299,106299,0,1,2024-10-09 17:43:00,2024-10-09 17:43:59,SiU6
106197,106197,106197,106197,0,1,2024-10-10 10:51:00,2024-10-10 10:51:59,SiU6
106001,106001,106001,106001,0,1,2024-10-10 17:42:00,2024-10-10 17:42:59,SiU6
106001,106001,106001,106001,0,1,2024-10-10 17:45:00,2024-10-10 17:45:59,SiU6
106000,106000,106000,106000,0,1,2024-10-10 17:46:00,2024-10-10 17:46:59,SiU6
106000,106098,106098,106000,0,2,2024-10-10 20:56:00,2024-10-10 20:56:59,SiU6
106001,105950,106001,105950,0,2,2024-10-11 10:05:00,2024-10-11 10:05:59,SiU6
106099,106099,106099,106099,0,1,2024-10-11 11:05:00,2024-10-11 11:05:59,SiU6
106000,106000,106000,106000,0,1,2024-10-11 12:26:00,2024-10-11 12:26:59,SiU6
105900,105900,105900,105900,0,1,2024-10-11 13:29:00,2024-10-11 13:29:59,SiU6
106099,106620,106620,106099,0,2,2024-10-14 14:14:00,2024-10-14 14:14:59,SiU6
106199,106199,106199,106199,0,1,2024-10-15 10:01:00,2024-10-15 10:01:59,SiU6
106299,106299,106299,106299,0,1,2024-10-15 10:08:00,2024-10-15 10:08:59,SiU6
106399,106399,106399,106399,0,1,2024-10-15 10:11:00,2024-10-15 10:11:59,SiU6
106499,106499,106499,106499,0,1,2024-10-15 10:29:00,2024-10-15 10:29:59,SiU6
106599,106599,106599,106599,0,1,2024-10-15 10:43:00,2024-10-15 10:43:59,SiU6
106699,106699,106699,106699,0,1,2024-10-15 11:38:00,2024-10-15 11:38:59,SiU6
106799,106799,106799,106799,0,1,2024-10-15 12:16:00,2024-10-15 12:16:59,SiU6
106898,106898,106898,106898,0,1,2024-10-15 16:42:00,2024-10-15 16:42:59,SiU6
106899,106899,106899,106899,0,1,2024-10-15 18:19:00,2024-10-15 18:19:59,SiU6
106999,106999,106999,106999,0,1,2024-10-16 11:10:00,2024-10-16 11:10:59,SiU6
106301,106300,106301,106300,0,3,2024-10-16 12:20:00,2024-10-16 12:20:59,SiU6
106300,106300,106300,106300,0,1,2024-10-16 14:12:00,2024-10-16 14:12:59,SiU6
106300,106300,106300,106300,0,1,2024-10-16 14:50:00,2024-10-16 14:50:59,SiU6
106476,106476,106476,106476,0,1,2024-10-16 16:12:00,2024-10-16 16:12:59,SiU6
106250,106250,106250,106250,0,1,2024-10-17 13:00:00,2024-10-17 13:00:59,SiU6
106222,106222,106222,106222,0,1,2024-10-17 13:16:00,2024-10-17 13:16:59,SiU6
106254,106254,106254,106254,0,1,2024-10-17 13:18:00,2024-10-17 13:18:59,SiU6
106205,106205,106205,106205,0,1,2024-10-17 14:05:00,2024-10-17 14:05:59,SiU6
106250,106250,106250,106250,0,1,2024-10-17 18:17:00,2024-10-17 18:17:59,SiU6
106400,106400,106400,106400,0,1,2024-10-18 10:04:00,2024-10-18 10:04:59,SiU6
106011,106011,106011,106011,0,1,2024-10-18 11:44:00,2024-10-18 11:44:59,SiU6
106056,106056,106056,106056,0,1,2024-10-21 10:21:00,2024-10-21 10:21:59,SiU6
106499,106499,106499,106499,0,1,2024-10-22 10:30:00,2024-10-22 10:30:59,SiU6
106599,106599,106599,106599,0,1,2024-10-22 12:02:00,2024-10-22 12:02:59,SiU6
106400,106400,106400,106400,0,1,2024-10-23 11:09:00,2024-10-23 11:09:59,SiU6
106550,106550,106550,106550,0,1,2024-10-25 10:07:00,2024-10-25 10:07:59,SiU6
106885,106885,106885,106885,0,1,2024-10-25 14:14:00,2024-10-25 14:14:59,SiU6
106562,106562,106562,106562,0,1,2024-10-25 21:39:00,2024-10-25 21:39:59,SiU6
106998,106998,106998,106998,0,1,2024-10-25 21:57:00,2024-10-25 21:57:59,SiU6
106999,106999,106999,106999,0,1,2024-10-28 10:02:00,2024-10-28 10:02:59,SiU6
107099,107099,107099,107099,0,1,2024-10-28 10:18:00,2024-10-28 10:18:59,SiU6
107199,107199,107199,107199,0,1,2024-10-28 10:48:00,2024-10-28 10:48:59,SiU6
107299,107299,107299,107299,0,1,2024-10-28 11:09:00,2024-10-28 11:09:59,SiU6
107399,107736,107736,107399,0,2,2024-10-28 13:40:00,2024-10-28 13:40:59,SiU6
107499,110551,110551,107499,0,8,2024-10-28 13:41:00,2024-10-28 13:41:59,SiU6
107893,107786,107893,107786,0,6,2024-10-28 13:42:00,2024-10-28 13:42:59,SiU6
107042,107043,107043,105398,0,11,2024-10-28 13:53:00,2024-10-28 13:53:59,SiU6
107299,107299,107299,107299,0,1,2024-10-28 14:19:00,2024-10-28 14:19:59,SiU6
107400,107400,107400,107400,0,1,2024-10-28 15:54:00,2024-10-28 15:54:59,SiU6
107499,107499,107499,107499,0,1,2024-10-28 16:24:00,2024-10-28 16:24:59,SiU6
107399,107399,107399,107399,0,1,2024-10-28 18:34:00,2024-10-28 18:34:59,SiU6
106330,106330,106330,106330,0,1,2024-10-30 15:15:00,2024-10-30 15:15:59,SiU6
107286,107311,107311,107286,0,2,2024-11-05 10:10:00,2024-11-05 10:10:59,SiU6
107500,107500,107500,107500,0,1,2024-11-05 13:45:00,2024-11-05 13:45:59,SiU6
107690,107690,107690,107690,0,1,2024-11-05 18:32:00,2024-11-05 18:32:59,SiU6
107273,107273,107273,107273,0,1,2024-11-06 10:00:00,2024-11-06 10:00:59,SiU6
