open,close,high,low,value,volume,begin,end,SECID
122354,122354,122354,122354,0,1,2024-12-17 18:18:00,2024-12-17 18:18:59,SiZ6
121994,121994,121994,121994,0,1,2024-12-18 13:04:00,2024-12-18 13:04:59,SiZ6
122840,122840,122840,122840,0,1,2024-12-18 16:43:00,2024-12-18 16:43:59,SiZ6
121658,121658,121658,121658,0,1,2024-12-20 14:49:00,2024-12-20 14:49:59,SiZ6
122398,123291,123291,122398,0,2,2024-12-20 20:11:00,2024-12-20 20:11:59,SiZ6
122155,122155,122155,122155,0,1,2024-12-23 10:05:00,2024-12-23 10:05:59,SiZ6
121556,121556,121556,121556,0,1,2024-12-24 14:52:00,2024-12-24 14:52:59,SiZ6
121500,121500,121500,121500,0,1,2024-12-27 10:03:00,2024-12-27 10:03:59,SiZ6
122439,122439,122439,122439,0,1,2024-12-27 13:43:00,2024-12-27 13:43:59,SiZ6
122439,122439,122439,122439,0,1,2024-12-27 17:42:00,2024-12-27 17:42:59,SiZ6
125246,125246,125246,125246,0,1,2024-12-27 19:24:00,2024-12-27 19:24:59,SiZ6
122257,122257,122257,122257,0,1,2024-12-27 19:27:00,2024-12-27 19:27:59,SiZ6
123847,123847,123847,123847,0,1,2024-12-28 11:09:00,2024-12-28 11:09:59,SiZ6
123847,123847,123847,123847,0,1,2024-12-28 16:00:00,2024-12-28 16:00:59,SiZ6
127814,127814,127814,127814,0,1,2025-01-06 10:30:00,2025-01-06 10:30:59,SiZ6
128406,128406,128406,128406,0,1,2025-01-06 10:58:00,2025-01-06 10:58:59,SiZ6
125719,125719,125719,125719,0,1,2025-01-06 14:07:00,2025-01-06 14:07:59,SiZ6
124353,124353,124353,124353,0,1,2025-01-08 15:09:00,2025-01-08 15:09:59,SiZ6
124514,124514,124514,124514,0,2,2025-01-08 21:48:00,2025-01-08 21:48:59,SiZ6
124433,124433,124433,124433,0,1,2025-01-09 14:18:00,2025-01-09 14:18:59,SiZ6
126132,126132,126132,126132,0,1,2025-01-13 12:17:00,2025-01-13 12:17:59,SiZ6
126504,126504,126504,126504,0,1,2025-01-16 16:20:00,2025-01-16 16:20:59,SiZ6
123836,123512,123836,123512,0,5,2025-01-21 13:05:00,2025-01-21 13:05:59,SiZ6
124000,124000,124000,124000,0,2,2025-01-21 13:14:00,2025-01-21 13:14:59,SiZ6
125386,125386,125386,125386,0,1,2025-01-21 13:29:00,2025-01-21 13:29:59,SiZ6
125437,125437,125437,125437,0,2,2025-01-21 14:38:00,2025-01-21 14:38:59,SiZ6
128367,128369,128369,128367,0,2,2025-01-24 10:02:00,2025-01-24 10:02:59,SiZ6
127727,127727,127727,127727,0,1,2025-01-24 10:34:00,2025-01-24 10:34:59,SiZ6
128498,128498,128498,128498,0,1,2025-01-24 10:36:00,2025-01-24 10:36:59,SiZ6
128498,128499,128499,128498,0,2,2025-01-24 11:39:00,2025-01-24 11:39:59,SiZ6
127401,127401,127401,127401,0,1,2025-01-24 11:58:00,2025-01-24 11:58:59,SiZ6
127400,127400,127400,127400,0,1,2025-01-24 13:08:00,2025-01-24 13:08:59,SiZ6
126200,126200,126200,126200,0,2,2025-01-24 14:40:00,2025-01-24 14:40:59,SiZ6
126278,126278,126278,126278,0,1,2025-01-24 15:40:00,2025-01-24 15:40:59,SiZ6
126880,126880,126880,126880,0,1,2025-01-24 17:24:00,2025-01-24 17:24:59,SiZ6
128498,128499,128499,128498,0,2,2025-01-27 10:10:00,2025-01-27 10:10:59,SiZ6
127240,127240,127240,127240,0,1,2025-01-27 11:02:00,2025-01-27 11:02:59,SiZ6
126095,126095,126095,126095,0,2,2025-01-27 11:21:00,2025-01-27 11:21:59,SiZ6
126096,126096,126096,126096,0,1,2025-01-27 13:11:00,2025-01-27 13:11:59,SiZ6
126096,126096,126096,126096,0,1,2025-01-27 13:15:00,2025-01-27 13:15:59,SiZ6
127564,127564,127564,127564,0,1,2025-01-27 16:16:00,2025-01-27 16:16:59,SiZ6
128196,128196,128196,128196,0,1,2025-01-27 18:27:00,2025-01-27 18:27:59,SiZ6
128110,128110,128110,128110,0,1,2025-01-27 21:25:00,2025-01-27 21:25:59,SiZ6
128498,128498,128498,128498,0,1,2025-01-28 10:16:00,2025-01-28 10:16:59,SiZ6
128070,128070,128070,128070,0,1,2025-01-28 18:26:00,2025-01-28 18:26:59,SiZ6
128409,128409,128409,128409,0,1,2025-01-29 15:27:00,2025-01-29 15:27:59,SiZ6
128081,128081,128081,128081,0,1,2025-01-29 19:38:00,2025-01-29 19:38:59,SiZ6
126701,126701,126701,126701,0,2,2025-01-29 23:25:00,2025-01-29 23:25:59,SiZ6
126701,128439,128439,126701,0,2,2025-01-29 23:49:00,2025-01-29 23:49:59,SiZ6
128000,128000,128000,128000,0,1,2025-01-30 12:30:00,2025-01-30 12:30:59,SiZ6
128100,128100,128100,128100,0,1,2025-01-30 12:31:00,2025-01-30 12:31:59,SiZ6
127000,127000,127000,127000,0,1,2025-01-31 11:37:00,2025-01-31 11:37:59,SiZ6
127001,127001,127001,127001,0,1,2025-01-31 19:08:00,2025-01-31 19:08:59,SiZ6
127000,127000,127000,127000,0,1,2025-01-31 19:09:00,2025-01-31 19:09:59,SiZ6
127995,127995,127995,127995,0,1,2025-02-03 09:28:00,2025-02-03 09:28:59,SiZ6
125066,125066,125066,125066,0,1,2025-02-05 20:11:00,2025-02-05 20:11:59,SiZ6
127995,128712,128712,127995,0,5,2025-02-05 21:36:00,2025-02-05 21:36:59,SiZ6
127989,127989,127989,127989,0,1,2025-02-06 11:12:00,2025-02-06 11:12:59,SiZ6
127800,127800,127800,127800,0,1,2025-02-06 18:21:00,2025-02-06 18:21:59,SiZ6
127502,127502,127502,127502,0,1,2025-02-07 12:53:00,2025-02-07 12:53:59,SiZ6
127500,127500,127500,127500,0,1,2025-02-11 18:43:00,2025-02-11 18:43:59,SiZ6
124813,124813,124813,124813,0,1,2025-02-12 21:39:00,2025-02-12 21:39:59,SiZ6
125297,125297,125297,125297,0,1,2025-02-13 09:19:00,2025-02-13 09:19:59,SiZ6
122342,115700,122342,115700,0,19,2025-02-13 10:38:00,2025-02-13 10:38:59,SiZ6
118098,118200,118200,118098,0,3,2025-02-13 10:56:00,2025-02-13 10:56:59,SiZ6
